Trade Date,Symbol,Series,Security Name,Category,Last Trade Date,Face Value(Rs.),Issue Size,Close Price/Paid up value(Rs.),Market Cap(Rs.)              
05 FEB 2026,AHLADA,EQ,AHLADA ENGINEERS LIMITED ,Listed    ,05 FEB 2026,              10.00,          12921000,             50.75,      655869960.00    
05 FEB 2026,AHLEAST,EQ,ASIAN HOTELS (EAST) LTD  ,Listed    ,05 FEB 2026,              10.00,          17291696,            144.30,     2495018815.85   
05 FEB 2026,AHLUCONT,EQ,AHLUWALIA CONT IND LTD   ,Listed    ,05 FEB 2026,               2.00,          66987560,            868.60,    58185394616.00  
05 FEB 2026,AIAENG,EQ,AIA ENGINEERING LIMITED  ,Listed    ,05 FEB 2026,               2.00,          93320370,           3967.00,   370201907790.00    
05 FEB 2026,AIIL,EQ,AUTHUM INVEST & INFRA LTD,Listed    ,05 FEB 2026,               1.00,         849225500,            499.40,   424103214700.00      
05 FEB 2026,AILIMITED,SM,ABHISHEK INTEGRATIONS LTD,Listed    ,05 FEB 2026,              10.00,           6021570,             25.00,      150539250.00 
05 FEB 2026,AIMTRON,ST,AIMTRON ELECTRONICS LTD  ,Listed    ,05 FEB 2026,              10.00,          20413825,            850.65,    17365020236.25   
05 FEB 2026,AIRAN,EQ,AIRAN LIMITED            ,Listed    ,05 FEB 2026,               2.00,         125020000,             14.85,     1856547000.00     
05 FEB 2026,AIROLAM,EQ,AIRO LAM LIMITED         ,Listed    ,05 FEB 2026,              10.00,          15002000,             91.50,     1372833020.00   
05 FEB 2026,AISL,SM,ANI INTEGRATED SERV LTD. ,Listed    ,05 FEB 2026,              10.00,          11687200,             75.60,      883552320.00      
05 FEB 2026,AJANTPHARM,EQ,AJANTA PHARMA LIMITED    ,Listed    ,05 FEB 2026,               2.00,         124935624,           2817.30,   351981133495.20
